DateTime,internal_txn_id,platform_txn_id,Venue,Transaction Type,Base Asset,Base Asset Amount,Quote Asset,Quote Asset Amount,Price Paid,Txn Fee Asset,Txn Fee Paid Quantity,Txn_Total,NOTES
2023-01-04T23:27:21.000Z,2020,3jyYjy5tQoyZYzcCmJgTbUfi77UhFe8yUwWF1mLGSPg15ovUMZx2Mb4bfjNhSD1o6NK6B1GechMAmVLksmhkDJvC,ORCA,BUY,USDC,5071.6,USD,5071.58,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-05T05:29:07.000Z,2021,3UfEx45AAcsaF5b8CawyFdZbKVQJ4jro1CFdC6Q2v1c5y1QDVYFTbyaQeX11iaeMk4rA4Pbo4E59KYhnLq3Tgxpt,ORCA,SELL,BONK,1000000000.0,USD,4616.97,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-05T05:29:07.000Z,2021,3UfEx45AAcsaF5b8CawyFdZbKVQJ4jro1CFdC6Q2v1c5y1QDVYFTbyaQeX11iaeMk4rA4Pbo4E59KYhnLq3Tgxpt,ORCA,BUY,USDC,4617.0,USD,4616.97,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-05T22:58:21.000Z,2022,yFU9b5NBeCYENEiWHeZSjHKmSp4VAt3n9ZhBv1BjynGogYdoGboLQURn2siYQbUZHL6QQ3nxhw68KQMvWacp4D3,ORCA,SELL,BONK,2000000000.000000000,USD,5105.81,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-05T22:58:21.000Z,2022,yFU9b5NBeCYENEiWHeZSjHKmSp4VAt3n9ZhBv1BjynGogYdoGboLQURn2siYQbUZHL6QQ3nxhw68KQMvWacp4D3,ORCA,BUY,USDC,5105.810000000,USD,5105.81,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-06T05:24:01.000Z,2023,3pGTAy15SgZ6bURVdvedhHb8SZnzKoSgLZi743XYHTEx5wbPRDZ3ictAJy6ckktjgbGNkD5cs5FstVLYEnhoaFFP,ORCA,SELL,BONK,2000000000.000000000,USD,4912.30,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-06T05:24:01.000Z,2023,3pGTAy15SgZ6bURVdvedhHb8SZnzKoSgLZi743XYHTEx5wbPRDZ3ictAJy6ckktjgbGNkD5cs5FstVLYEnhoaFFP,ORCA,BUY,USDC,4912.300000000,USD,4912.30,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-07T06:02:22.000Z,2024,5AXbnrMcCfj646xTDn4tMiEKPxg7N5izQhtbMX7pVF1bUMdGxCD4VkTJHbs7aJeutx4TbqmREJiLK76Xa3mrE3cx,ORCA,SELL,BONK,3000000000.000000000,USD,5560.49,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-07T06:02:22.000Z,2024,5AXbnrMcCfj646xTDn4tMiEKPxg7N5izQhtbMX7pVF1bUMdGxCD4VkTJHbs7aJeutx4TbqmREJiLK76Xa3mrE3cx,ORCA,BUY,USDC,5560.490000000,USD,5560.49,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-08T19:43:08.000Z,3005,,Coinbase,TRANSFER-SEND,ETH,0.750735000,USD,949.59,"1,264.88",,,,Sent 0.750735 ETH to 0x2C44D46287dA084330ae5029d5aC0beacfC5d652
